Cloudiness,Country,Humidity,Latitude,Longitude,Max_Temp,Temperature (F),Wind Speed
88,ZA,100,-34.53,20.04,65.87,65.87,12.33
90,US,59,43.49,-116.42,35.6,34.65,13.87
20,MK,84,41.94,21.61,6.8,6.8,2.15
20,NZ,78,-35.17,173.16,72.21,72.21,14.0
40,CA,86,44.16,-77.39,37.4,37.4,8.05
20,ZA,82,-33.93,18.42,64.4,64.4,9.17
0,AU,79,-33.64,115.35,77.03,77.03,15.46
92,PF,100,-9.8,-139.03,80.27,80.27,19.04
0,FI,83,62.78,29.36,-9.41,-9.41,2.24
44,RU,96,51.8,143.14,20.1,20.1,6.73
80,RU,72,68.75,161.3,0.89,0.89,2.93
40,RU,71,54.22,90.86,6.8,6.8,2.24
80,RU,71,50.93,84.77,26.94,26.94,6.73
32,BR,91,-20.63,-46.0,64.83,64.83,2.59
20,MU,74,-20.41,57.7,84.2,84.2,11.41
75,AR,75,-54.81,-68.31,46.4,46.4,18.34
75,ZA,94,-33.02,27.91,68.0,68.0,11.41
40,AU,57,-32.72,152.14,75.2,75.2,18.34
1,US,61,60.55,-151.26,12.2,7.61,8.41
20,AU,60,-23.58,149.07,89.36,89.36,9.19
40,BB,94,13.22,-59.52,71.6,71.6,9.17
20,MZ,90,-23.87,35.38,78.78,78.78,9.53
76,PF,100,-23.12,-134.97,78.69,78.69,13.78
48,ET,56,8.96,38.73,62.99,62.99,3.94
80,RU,72,71.98,102.47,-6.45,-6.45,6.4
20,AR,44,-46.43,-67.52,63.03,63.03,19.04
90,US,83,19.71,-155.08,69.8,58.6,9.17
0,IE,99,53.8,-9.52,29.06,29.06,23.4
75,CL,75,-53.16,-70.91,46.4,46.4,28.86
90,US,57,40.08,-74.07,53.6,49.8,12.88
88,BR,96,-30.17,-50.22,71.63,71.63,5.28
40,TH,62,8.35,100.2,89.6,89.6,6.93
90,US,100,45.52,-122.67,46.4,44.4,10.29
75,AU,72,-42.88,147.33,62.6,62.6,14.99
32,ID,100,-5.12,120.25,76.76,76.76,2.48
24,UY,94,-33.69,-53.46,65.87,65.87,6.96
40,CK,83,-21.21,-159.78,82.4,82.4,5.82
80,MG,73,-25.17,45.06,82.97,82.97,9.19
48,ZA,91,-34.42,19.24,55.2,55.2,3.15
32,GL,81,72.79,-56.15,11.01,11.01,3.83
64,GB,67,51.04,-4.21,23.0,23.0,24.16
36,PH,74,7.2,124.8,90.75,90.75,3.94
32,DE,78,50.67,13.08,8.6,7.54,8.05
0,FI,75,61.86,25.19,-14.81,-14.81,2.24
64,PG,100,-2.57,150.8,85.44,85.44,4.27
92,PT,100,38.52,-28.7,55.16,55.16,13.67
0,UZ,71,38.49,65.64,57.2,57.2,2.24
8,TH,63,15.5,101.69,89.18,89.18,5.06
20,ID,74,5.56,95.32,85.49,85.49,5.17
40,RU,76,59.7,30.79,-11.21,-11.21,2.24
0,SR,91,5.06,-54.98,74.55,74.55,5.84
40,CA,63,65.28,-126.83,-11.21,-11.21,4.7
92,ZA,89,-33.59,26.89,69.56,69.56,8.86
56,KI,100,3.07,172.79,81.89,81.89,13.22
90,AU,60,-31.43,152.91,75.2,75.2,16.11
0,DE,72,53.51,13.99,10.4,10.4,10.29
1,DE,66,50.1,11.45,10.4,10.4,6.93
88,GL,85,77.48,-69.36,14.12,14.12,6.4
64,RU,84,73.51,80.55,5.03,5.03,14.45
0,CN,39,42.27,118.96,25.01,25.01,11.32
56,ES,77,28.5,-13.86,66.2,66.2,12.75
8,CN,85,44.99,124.06,20.55,20.55,17.02
32,ID,100,-0.92,100.36,81.84,81.84,3.6
92,NZ,99,-46.19,168.86,66.0,66.0,6.29
0,IN,32,15.34,74.49,89.27,89.27,5.06
75,PT,93,39.36,-9.38,55.4,55.4,17.22
75,AU,72,-42.78,147.06,62.6,62.6,14.99
68,CN,78,40.29,97.04,44.99,44.99,15.23
76,RU,68,64.92,77.78,-4.92,-4.92,22.28
0,RU,85,58.28,47.52,3.09,3.09,7.63
0,GL,67,65.61,-37.64,19.4,19.4,2.24
90,US,87,42.65,-73.75,46.4,44.11,3.6
5,CA,84,62.45,-114.38,-2.21,-2.21,8.05
90,US,100,35.8,-84.26,53.6,51.84,5.82
68,VN,69,9.93,106.35,85.35,85.35,9.98
64,BR,100,-9.01,-35.22,75.14,75.14,2.82
0,CN,86,38.94,100.46,45.08,45.08,4.72
40,BB,94,13.07,-59.53,71.6,71.6,9.17
76,SL,96,7.87,-11.34,72.17,72.17,3.15
